Country,1,2,3,4,5,6,       Total Responses
Burkina_Faso,227,542,409,65,16,1,1260
Cameroon,419,446,313,153,159,5,1495
Costa Rica,469,290,78,54,73,17,981
Cote_dIvoire,390,305,182,131,162,0,1170
Ecuador,381,296,97,86,100,25,985
Honduras,397,304,68,86,101,24,980
Liberia,207,295,200,192,62,3,959
Madagascar,557,414,231,113,118,1,1434
Mozambique,472,420,158,174,243,11,1478
Peru,529,453,124,158,159,57,1480
Rwanda,582,294,49,15,28,0,968
Thailand,1174,247,165,124,213,25,1948
Zambia,455,278,149,95,34,0,1011
